length,sp_code,genus,species,log_length,body_mass_predicted
30,2250,Champsochromis,spilorhynchus,1.477121255,2.668867517
17,2253,Tramitichromis,variabilis,1.230448921,2.074321411
17,2254,Tramitichromis,lituris,1.230448921,2.136946328
16,2256,Tramitichromis,intermedius,1.204119983,2.034578307
21,2258,Taeniolethrinops,furcicauda,1.322219295,2.285248877
30,2260,Aristochromis,christyi,1.477121255,2.67158847
20,2261,Caprichromis,orthognathus,1.301029996,2.229535433
19,2262,Caprichromis,liemi,1.278753601,2.182413971
20,2263,Diplotaxodon,argenteus,1.301029996,2.191750782
15,2264,Diplotaxodon,ecclesi,1.176091259,1.887515734
25,2265,Diplotaxodon,greenwoodi,1.397940009,2.543863405
25,2266,Docimodus,johnstoni,1.397940009,2.56585324
20,2267,Docimodus,evelynae,1.301029996,2.290992648
27,2268,Corematodus,shiranus,1.431363764,2.626762477
19,2269,Corematodus,taeniatus,1.278753601,2.200626824
24,2270,Fossorochromis,rostratus,1.380211242,2.498813915
25,2274,Nimbochromis,livingstonii,1.397940009,2.537364091
25,2275,Nimbochromis,linni,1.397940009,2.436832854
23,2277,Nimbochromis,polystigma,1.361727836,2.397042934
25,2279,Nimbochromis,venustus,1.397940009,2.544871679
25,2280,Nimbochromis,fuscotaeniatus,1.397940009,2.495158345
14,2282,Nyassachromis,boadzulu,1.146128036,1.834074211
14,2285,Copadichromis,likomae,1.146128036,1.936165918
20,2286,Copadichromis,quadrimaculatus,1.301029996,2.304686508
16,2288,Copadichromis,chrysonotus,1.204119983,2.015044069
19,2290,Copadichromis,cyaneus,1.278753601,2.253766885
14,2291,Mchenga,eucinostomus,1.146128036,1.810897854
12,2293,Mchenga,flavimanus,1.079181246,1.686558996
10,2294,Mchenga,inornata,1,1.467321583
28,2297,Rhamphochromis,longiceps,1.447158031,2.498421953
30,2298,Rhamphochromis,macrophthalmus,1.477121255,2.545808781
42,2302,Rhamphochromis,woodi,1.62324929,3.014052549
42,2306,Rhamphochromis,esox,1.62324929,2.873061051
13,2309,Lethrinops,stridei,1.113943352,1.870851861
30,2310,Taeniolethrinops,praeorbitalis,1.477121255,2.694467857
18,2311,Copadichromis,jacksoni,1.255272505,2.147722059
14,2312,Copadichromis,borleyi,1.146128036,1.880886825
32,2313,Clarias,liocephalus,1.505149978,2.536429724
150,2319,Heterobranchus,longifilis,2.176091259,4.187781646
10,2323,Cynotilapia,afra,1,1.523526606
8,2324,Cynotilapia,axelrodi,0.903089987,1.189996658
30,2325,Labeotropheus,fuelleborni,1.477121255,2.662695678
6,2335,Labidochromis,maculicauda,0.77815125,0.879164067
7,2341,Labidochromis,vellicans,0.84509804,1.115006329
11,2343,Melanochromis,auratus,1.041392685,1.527205179
12,2344,Melanochromis,chipokae,1.079181246,1.657838655
7,2352,Melanochromis,vermivorus,0.84509804,1.040360712
13,2353,Petrotilapia,genalutea,1.113943352,1.804666327
8,2356,Pseudotropheus,ater,0.903089987,1.138735532
9,2357,Maylandia,aurora,0.954242509,1.363439307
8,2358,Maylandia,barlowi,0.903089987,1.264082128
9,2359,Pseudotropheus,crabro,0.954242509,1.359493589
8,2361,Pseudotropheus,cyaneus,0.903089987,1.187520973
8,2365,Pseudotropheus,flavus,0.903089987,1.131369123
12,2370,Maylandia,hajomaylandi,1.079181246,1.697639638
9,2371,Maylandia,heteropicta,0.954242509,1.376738417
14,2375,Pseudotropheus,lucerna,1.146128036,1.867047079
10,2377,Tropheops,microstoma,1,1.488731974
7,2378,Pseudotropheus,minutus,0.84509804,1.101855965
9,2382,Pseudotropheus,tursiops,0.954242509,1.360847106
56,2383,Serranochromis,robustus,1.748188027,3.438123305
63,2385,Polypterus,endlicherii,1.799340549,3.199621303
30,2386,Polypterus,palmas,1.477121255,2.22698407
32,2387,Polypterus,retropinnis,1.505149978,2.413688821
100,2388,Heterotis,niloticus,2,3.915540111
14,2389,Hemichromis,bimaculatus,1.146128036,1.916198061
20,2390,Hemichromis,fasciatus,1.301029996,2.28089288
32,2392,Marcusenius,senegalensis,1.505149978,2.712010719
150,2394,Mormyrops,anguilloides,2.176091259,4.299817085
9,2402,Micralestes,acutidens,0.954242509,1.25699969
43,2405,Alestes,baremoze,1.633468456,2.963312121
76,2406,Distichodus,rostratus,1.880813592,3.769128661
7,2408,Nannocharax,fasciatus,0.84509804,0.811651205
10,2410,Barbus,ablabes,1,1.366540556
10,2419,Barbus,macrops,1,1.436331076
11,2420,Gasterosteus,aculeatus,1.041392685,1.456704474
7,2427,Barbus,sublineatus,0.84509804,0.979627211
38,2435,Labeo,parvus,1.579783597,2.893706013
70,2438,Auchenoglanis,occidentalis,1.84509804,3.508416873
18,2439,Cottus,gobio,1.255272505,1.877652131
65,2440,Chrysichthys,nigrodigitatus,1.812913357,3.38826959
51,2441,Chrysichthys,maurus,1.707570176,3.117339895
35,2443,Chrysichthys,auratus,1.544068044,2.713009654
20,2445,Chrysichthys,walkeri,1.301029996,2.104299095
50,2446,Schilbe,mandibularis,1.698970004,3.165762934
40,2447,Schilbe,mystus,1.602059991,2.973547848
49,2458,Synodontis,schall,1.69019608,3.15630672
18,2459,Synodontis,waterloti,1.255272505,2.006944975
4,2462,Poropanchax,normani,0.602059991,0.31660258
5,2479,Epiplatys,spilargyreius,0.698970004,0.578462151
22,2481,Microphis,brachyurus,1.342422681,1.626863913
29,2491,Tylochromis,jentinki,1.462397998,2.763464579
75,2499,Chelon,labrosus,1.875061263,3.609441177
200,2504,Acipenser,naccarii,2.301029996,4.51607715
200,2505,Acipenser,nudiventris,2.301029996,4.549404449
143,2590,Acipenser,brevirostrum,2.155336037,4.125846001
274,2591,Acipenser,fulvescens,2.437750563,4.852845003
270,2592,Acipenser,medirostris,2.431363764,4.796350307
459,2593,Acipenser,oxyrinchus,2.661812686,5.417329851
610,2594,Acipenser,transmontanus,2.785329835,5.782200329
200,2595,Scaphirhynchus,albus,2.301029996,4.492463562
132,2598,Lepisosteus,platyrhincus,2.120573931,3.950815462
109,2600,Amia,calva,2.037426498,3.952782838
52,2666,Hiodon,alosoides,1.716003344,3.236211932
47,2667,Hiodon,tergisus,1.672097858,3.163514801
64,2669,Coregonus,autumnalis,1.806179974,3.373866434
37,2670,Coregonus,hoyi,1.568201724,2.803164852
35,2672,Coregonus,kiyi,1.544068044,2.720644839
71,2674,Coregonus,nasus,1.851258349,3.503319978
39,2675,Coregonus,nigripinnis,1.591064607,2.898282062
46,2676,Coregonus,pidschian,1.662757832,3.018470793
36,2677,Coregonus,reighardi,1.556302501,2.783832662
47,2678,Coregonus,sardinella,1.672097858,3.00122807
40,2679,Coregonus,zenithicus,1.602059991,2.902556725
28,2681,Prosopium,coulterii,1.447158031,2.428161315
59,2682,Prosopium,cylindraceum,1.770852012,3.292678192
70,2685,Prosopium,williamsoni,1.84509804,3.485678709
71,2686,Oncorhynchus,aguabonita,1.851258349,3.522041676
99,2688,Oncorhynchus,clarkii,1.995635195,3.923273647
127,2691,Salvelinus,malma,2.103803721,4.147403981
150,2692,Stenodus,leucichthys,2.176091259,4.314605603
76,2693,Thymallus,arcticus,1.880813592,3.618296601
12,2696,Hypomesus,transpacificus,1.079181246,1.476611822
20,2698,Spirinchus,thaleichthys,1.301029996,2.053557662
33,2705,Dallia,pectoralis,1.51851394,2.584103698
14,2707,Umbra,limi,1.146128036,1.707367122
15,2708,Umbra,pygmaea,1.176091259,1.79376132
183,2711,Esox,masquinongy,2.26245109,4.401857603
99,2712,Esox,niger,1.995635195,3.732236457
12,2740,Astyanax,mexicanus,1.079181246,1.697124068
30,2741,Acrocheilus,alutaceus,1.477121255,2.563674413
22,2743,Campostoma,anomalum,1.342422681,2.242240288
22,2744,Campostoma,oligolepis,1.342422681,2.225823081
12,2746,Clinostomus,elongatus,1.079181246,1.530995333
12,2747,Clinostomus,funduloides,1.079181246,1.581692717
23,2748,Couesius,plumbeus,1.361727836,2.204140719
8,2750,Dionda,episcopa,0.903089987,1.092484446
16,2754,Exoglossum,maxillingua,1.204119983,1.86439242
8,2770,Hemitremia,flammea,0.903089987,1.102920861
12,2772,Hybognathus,argyritis,1.079181246,1.56292813
10,2773,Hybognathus,hankinsoni,1,1.342107926
12,2777,Hybognathus,regius,1.079181246,1.516642545
8,2778,Macrhybopsis,aestivalis,0.903089987,1.093687048
23,2792,Macrhybopsis,storeriana,1.361727836,2.2187519
76,2801,Leuciscus,idus,1.880813592,3.641520127
36,2804,Mylocheilus,caurinus,1.556302501,2.741481987
26,2807,Nocomis,biguttatus,1.414973348,2.478726768
33,2810,Nocomis,micropogon,1.51851394,2.664590541
11,2819,Cyprinella,analostana,1.041392685,1.452160063
6,2820,Notropis,anogenus,0.77815125,0.756164661
9,2821,Lythrurus,ardens,0.954242509,1.255929234
13,2824,Notropis,atherinoides,1.113943352,1.558699444
6,2830,Notropis,bifrenatus,0.77815125,0.728116965
13,2831,Notropis,blennius,1.113943352,1.636580477
9,2832,Notropis,boops,0.954242509,1.221186485
6,2835,Notropis,buchanani,0.77815125,0.782772207
13,2838,Cyprinella,callistia,1.113943352,1.63789075
24,2849,Luxilus,chrysocephalus,1.380211242,2.438446073
18,2851,Luxilus,cornutus,1.255272505,2.061912405
8,2853,Notropis,dorsalis,0.903089987,1.065565526
7,2864,Notropis,heterodon,0.84509804,0.911177593
15,2867,Notropis,hudsonius,1.176091259,1.790982364
9,2876,Cyprinella,lutrensis,0.954242509,1.299416979
14,2886,Notropis,photogenis,1.146128036,1.632553408
7,2889,Notropis,procne,0.84509804,0.88077983
9,2893,Notropis,rubellus,0.954242509,1.155998223
12,2903,Cyprinella,spiloptera,1.079181246,1.600200024
8,2905,Notropis,stramineus,0.903089987,1.118610165
9,2907,Notropis,texanus,0.954242509,1.2528109
9,2910,Lythrurus,umbratilis,0.954242509,1.271006173
19,2912,Cyprinella,venusta,1.278753601,2.045131393
8,2913,Notropis,volucellus,0.903089987,1.054560794
8,2926,Chrosomus,cumberlandensis,0.903089987,1.06344836
8,2927,Chrosomus,eos,0.903089987,1.067670854
7,2930,Chrosomus,oreas,0.84509804,0.997820602
11,2931,Pimephales,notatus,1.041392685,1.41802457
